,Unnamed: 0,runstring,t
0,0,0000000.bin,61994.9053964
1,1,0000001.bin,107419.213598
2,2,0000002.bin,78971.218114
3,3,0000003.bin,34262.5585713
4,4,0000004.bin,78939.5215883
5,5,0000005.bin,248569.523357
6,6,0000006.bin,21240.6212506
7,7,0000007.bin,4931198.84201
8,8,0000008.bin,230319.460642
9,9,0000009.bin,21662.237003
10,10,0000010.bin,28277.0074549
11,11,0000011.bin,36671.2173912
12,12,0000012.bin,214328.719346
13,13,0000013.bin,74483.6482639
14,14,0000014.bin,440970.932676
15,15,0000015.bin,80230.8345784
16,16,0000016.bin,780835.941481
17,17,0000017.bin,36607.3740068
18,18,0000018.bin,325129.623134
19,19,0000019.bin,1190141.21366
20,20,0000020.bin,433204.729641
21,21,0000021.bin,51140.733303
22,22,0000022.bin,52667.9515822
23,23,0000023.bin,88007.3259945
24,24,0000024.bin,31888.748609
25,25,0000025.bin,127130.018491
26,26,0000026.bin,311593.682485
27,27,0000027.bin,26240.7741506
28,28,0000028.bin,139963.370142
29,29,0000029.bin,105681.551173
30,30,0000030.bin,89957.7881537
31,31,0000031.bin,974431.010779
32,32,0000032.bin,70707.5355104
33,33,0000033.bin,581768.35445
34,34,0000034.bin,35362.9995874
35,35,0000035.bin,355744.448536
36,36,0000036.bin,238463.527832
37,37,0000037.bin,51110.5956229
38,38,0000038.bin,33068.3096958
39,39,0000039.bin,223275.280211
40,40,0000040.bin,78765.3119409
41,41,0000041.bin,268624.659905
42,42,0000042.bin,56543.276193
43,43,0000043.bin,1877538.15317
44,44,0000044.bin,51544.0239603
45,45,0000045.bin,657953.846327
46,46,0000046.bin,66728.668916
47,47,0000047.bin,41909.35404
48,48,0000048.bin,210048.926283
49,49,0000049.bin,110498.972736
50,50,0000050.bin,356806.784439
51,51,0000051.bin,28401.5765327
52,52,0000052.bin,158417.676261
53,53,0000053.bin,46395.6421726
54,54,0000054.bin,15815.2499329
55,55,0000055.bin,467582.919904
56,56,0000056.bin,26904.8423434
57,57,0000057.bin,163530.169961
